Trip ID,Mode,Road Type,SoC (%),"Temp (°C)",AC (kW),Elev (m),"Speed (km/h)",Range (km)
T-001,Eco,Urban,80,28,1.2,50,55,232
T-002,Sport,Highway,50,35,2.5,120,70,118
T-003,Eco,Urban,95,24,0.8,20,50,305
T-004,Sport,Mountain,30,33,2,200,80,58
T-005,Normal,Mixed,65,30,1.5,80,60,175
T-006,Eco,Urban,85,26,1,40,55,258
T-007,Sport,Mountain,45,34,2.2,150,75,92
T-008,Eco,Urban,90,25,0.9,30,50,285
T-009,Sport,Mountain,25,36,2.8,220,85,42
T-010,Normal,Mixed,70,29,1.4,70,60,198
T-011,Sport,Highway,55,32,1.8,110,70,130
T-012,Eco,Urban,88,27,1.1,45,55,265
T-013,Sport,Mountain,40,33,2.3,170,75,78
T-014,Normal,Mixed,75,28,1.3,65,60,215
T-015,Normal,Highway,60,31,1.7,100,65,158
T-016,Sport,Mountain,35,35,2.6,190,80,65
T-017,Eco,Urban,92,26,1,35,50,295
T-018,Normal,Mixed,58,30,1.6,90,65,152
T-019,Normal,Mixed,78,29,1.3,60,58,222
T-020,Sport,Mountain,48,34,2.4,160,75,88
T-021,Eco,Urban,82,27,1.1,55,55,244
T-022,Sport,Mountain,38,33,2.5,180,78,70
T-023,Normal,Mixed,68,30,1.5,75,62,188
T-024,Sport,Mountain,28,36,2.7,210,82,48
T-025,Eco,Urban,87,26,1,38,52,272
T-026,Sport,Highway,52,32,1.9,130,72,105
T-027,Normal,Mixed,72,29,1.4,68,60,205
T-028,Sport,Mountain,43,34,2.3,165,76,82
T-029,Normal,Highway,63,31,1.7,95,65,165
T-030,Sport,Mountain,33,35,2.6,195,80,60
T-031,Eco,Urban,83,27,1.1,42,53,245
T-032,Sport,Mountain,32,35,2.7,205,81,55
T-033,Normal,Mixed,67,30,1.5,78,61,182
T-034,Eco,Urban,91,25,0.9,28,51,290
T-035,Sport,Highway,53,32,1.9,125,71,112
T-036,Normal,Highway,62,31,1.7,98,65,160
T-037,Sport,Mountain,37,34,2.4,175,77,72
T-038,Eco,Urban,89,26,1,36,53,278
T-039,Normal,Mixed,74,28,1.3,67,60,212
T-040,Sport,Mountain,27,36,2.8,215,83,45
