Day ID,Weather,"Panel Brand","Irradiance (W/m²)","Temp (°C)",Tilt (°),"Age (mo)","Dust (g/m²)","Output (kWh)"
D-001,Partly Cloudy,SolarX,720,32,15,6,1.2,28.4
D-002,Cloudy,VoltMax,580,29,15,18,3.5,21.8
D-003,Sunny,SolarX,810,34,20,3,0.8,32.1
D-004,Overcast,GreenRay,430,27,15,36,6,14.7
D-005,Partly Cloudy,VoltMax,650,31,25,12,2.1,24.9
D-006,Sunny,SolarX,760,33,20,8,1.5,30.2
D-007,Cloudy,GreenRay,510,28,15,24,4.8,18.3
D-008,Sunny,SolarX,890,35,25,2,0.5,34.7
D-009,Overcast,GreenRay,380,26,10,48,7.2,11.5
D-010,Partly Cloudy,VoltMax,690,31,20,14,2.8,26
D-011,Cloudy,VoltMax,540,30,15,30,5.1,19.6
D-012,Sunny,SolarX,770,33,25,5,1,31
D-013,Overcast,GreenRay,460,27,15,42,6.7,14.2
D-014,Sunny,SolarX,820,34,20,10,1.8,31.8
D-015,Hazy,VoltMax,610,30,20,20,3.2,23.4
D-016,Overcast,GreenRay,350,25,10,54,7.8,10.2
D-017,Partly Cloudy,SolarX,740,32,25,7,1.3,29.5
D-018,Cloudy,VoltMax,590,29,15,22,3.9,21.2
D-019,Sunny,SolarX,870,35,20,4,0.7,33.6
D-020,Cloudy,GreenRay,470,28,15,38,5.8,15.4
D-021,Partly Cloudy,VoltMax,700,32,20,16,2.5,26.8
D-022,Hazy,VoltMax,560,30,25,26,4.2,20.5
D-023,Sunny,SolarX,830,34,25,6,1.1,32.5
D-024,Overcast,GreenRay,410,26,10,50,7.5,12.8
D-025,Partly Cloudy,VoltMax,680,31,20,13,2.4,25.7
D-026,Hazy,VoltMax,520,29,15,28,4.5,18.9
D-027,Sunny,SolarX,790,33,25,9,1.6,30.7
D-028,Overcast,GreenRay,440,27,15,44,6.3,13.6
D-029,Partly Cloudy,SolarX,750,32,20,11,2,28.9
D-030,Partly Cloudy,VoltMax,630,30,25,19,3,24.1
D-031,Sunny,SolarX,800,33,20,4,0.6,32
D-032,Cloudy,VoltMax,550,29,15,26,4,20
D-033,Overcast,GreenRay,390,26,10,52,7.4,11
D-034,Partly Cloudy,SolarX,730,32,25,5,1,29.1
D-035,Hazy,VoltMax,600,30,20,25,3.5,22.4
D-036,Sunny,VoltMax,780,33,25,11,1.7,30
D-037,Cloudy,GreenRay,490,28,15,32,5.2,17
D-038,Sunny,SolarX,850,34,25,3,0.6,33.5
D-039,Overcast,GreenRay,420,27,10,46,6.8,13.4
D-040,Partly Cloudy,VoltMax,670,31,20,15,2.6,25.5
