Day ID,Day Type,Weather,"Temp (C)","Rainfall (mm)",Foot Traffic,"Promo (%)","Hours Open","Daily Sales (PHP)"
C-001,Weekday,Sunny,28,0,350,0,12,5200
C-002,Weekend,Sunny,30,0,580,10,14,8900
C-003,Weekday,Rainy,25,12,220,0,12,3800
C-004,Holiday,Cloudy,27,2,480,15,13,7400
C-005,Weekend,Sunny,31,0,600,5,14,9200
C-006,Weekday,Cloudy,26,1,320,0,12,4900
C-007,Weekend,Rainy,24,18,380,20,14,6500
C-008,Holiday,Sunny,29,0,520,25,13,8200
C-009,Weekday,Stormy,23,28,150,0,10,3000
C-010,Weekend,Cloudy,27,3,520,10,14,8000
C-011,Weekday,Sunny,29,0,360,0,12,5400
C-012,Holiday,Sunny,30,0,540,20,13,8500
C-013,Weekday,Rainy,25,15,200,5,12,3700
C-014,Weekend,Sunny,32,0,590,0,14,8700
C-015,Weekend,Cloudy,28,4,500,5,14,7800
C-016,Weekday,Stormy,24,25,170,10,10,3300
C-017,Holiday,Cloudy,28,1,460,15,13,7200
C-018,Weekday,Sunny,30,0,380,0,12,5600
C-019,Weekend,Rainy,26,10,400,15,14,6700
C-020,Weekday,Cloudy,27,2,310,0,12,4700
C-021,Holiday,Stormy,25,22,250,25,11,4500
C-022,Weekend,Sunny,33,0,610,5,14,9000
C-023,Weekday,Rainy,24,14,240,5,12,3900
C-024,Weekend,Cloudy,29,3,540,10,14,8100
C-025,Holiday,Sunny,31,0,550,20,13,8400
C-026,Weekday,Sunny,28,0,340,0,12,5100
C-027,Weekend,Sunny,32,0,600,10,14,9100
C-028,Weekday,Stormy,23,30,140,5,10,3100
C-029,Holiday,Cloudy,27,2,490,15,13,7500
C-030,Weekend,Rainy,25,16,370,20,14,6300
C-031,Weekday,Sunny,29,0,370,0,12,5500
C-032,Weekend,Sunny,31,0,585,5,14,8800
C-033,Holiday,Sunny,30,0,530,25,13,8300
C-034,Weekday,Cloudy,26,1,305,0,12,4600
C-035,Weekend,Stormy,24,24,280,20,12,5200
C-036,Weekday,Rainy,25,13,215,5,12,3750
C-037,Holiday,Cloudy,28,2,470,15,13,7300
C-038,Weekend,Sunny,33,0,615,0,14,9300
C-039,Weekday,Cloudy,27,1,325,5,12,4950
C-040,Holiday,Sunny,29,0,510,20,13,8000
