"Snap ID","Request Type",Region,"CPU (%)",Conns,"Cache (%)",BW (Mbps),Queue,Latency (ms)
S-001,Read-Heavy,US-East,45,320,92,850,12,38
S-002,Mixed,Asia-Pacific,78,1100,65,320,85,142
S-003,Read-Heavy,EU-West,30,180,95,940,5,22
S-004,Write-Heavy,Latin-America,88,1500,58,210,130,198
S-005,Mixed,US-East,62,720,81,600,40,76
S-006,Read-Heavy,EU-West,52,420,88,780,18,48
S-007,Write-Heavy,Asia-Pacific,82,1280,60,280,110,175
S-008,Read-Heavy,US-East,38,240,93,880,8,28
S-009,Write-Heavy,Latin-America,92,1620,55,180,145,215
S-010,Mixed,EU-West,68,850,78,540,52,92
S-011,Read-Heavy,US-East,48,380,89,820,15,42
S-012,Mixed,Asia-Pacific,75,1020,70,380,78,128
S-013,Read-Heavy,EU-West,34,210,94,920,6,25
S-014,Write-Heavy,Latin-America,85,1380,62,250,120,188
S-015,Mixed,US-East,58,560,84,690,30,65
S-016,Write-Heavy,Latin-America,95,1750,52,160,158,232
S-017,Read-Heavy,EU-West,42,290,91,800,11,35
S-018,Mixed,Asia-Pacific,72,920,74,460,65,108
S-019,Read-Heavy,US-East,50,460,87,740,22,52
S-020,Write-Heavy,Latin-America,80,1180,64,300,95,162
S-021,Read-Heavy,EU-West,36,220,94,900,7,26
S-022,Mixed,Asia-Pacific,65,780,79,580,45,84
S-023,Write-Heavy,Latin-America,90,1540,56,200,138,208
S-024,Mixed,US-East,55,510,85,660,26,58
S-025,Mixed,Asia-Pacific,70,880,76,500,58,98
S-026,Read-Heavy,EU-West,45,350,90,810,14,40
S-027,Write-Heavy,Latin-America,86,1440,59,230,125,195
S-028,Mixed,US-East,60,660,82,620,36,72
S-029,Read-Heavy,EU-West,32,200,96,930,4,23
S-030,Mixed,Asia-Pacific,77,1080,68,360,82,135
S-031,Read-Heavy,US-East,40,280,92,830,10,32
S-032,Write-Heavy,Latin-America,87,1460,60,220,132,200
S-033,Mixed,Asia-Pacific,73,970,72,420,70,118
S-034,Read-Heavy,EU-West,33,200,95,910,5,24
S-035,Mixed,US-East,57,540,84,680,28,62
S-036,Write-Heavy,Latin-America,93,1680,54,170,152,225
S-037,Read-Heavy,EU-West,47,360,90,830,13,41
S-038,Mixed,Asia-Pacific,66,810,78,560,48,88
S-039,Write-Heavy,US-East,84,1320,61,260,115,180
S-040,Mixed,EU-West,53,470,86,700,24,55
